-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.026,  0.148
-183.800, 80.198, 0.023,  0.181
-183.800, 80.197, 0.025,  0.214
-183.799, 80.194, 0.118,  0.247
-183.796, 80.186, 0.249,  0.280
-183.791, 80.174, 0.368,  0.313
-183.784, 80.158, 0.469,  0.346
-183.773, 80.140, 0.567,  0.379
-183.760, 80.119, 0.630,  0.412
-183.745, 80.097, 0.691,  0.445
-183.726, 80.072, 0.801,  0.478
-183.706, 80.045, 0.869,  0.511
-183.684, 80.017, 0.934,  0.544
-183.659, 79.986, 0.993,  0.577
-183.633, 79.955, 1.040,  0.610
-183.606, 79.923, 1.086,  0.643
-183.576, 79.891, 1.121,  0.676
-183.546, 79.858, 1.162,  0.709
-183.515, 79.824, 1.205,  0.742
-183.483, 79.789, 1.242,  0.775
-183.450, 79.754, 1.275,  0.808
-183.417, 79.718, 1.304,  0.841
-183.384, 79.682, 1.328,  0.874
-183.351, 79.645, 1.347,  0.907
-183.317, 79.608, 1.363,  0.940
-183.283, 79.572, 1.375,  0.973
-183.249, 79.535, 1.384,  1.006
-183.215, 79.499, 1.390,  1.039
-183.181, 79.462, 1.395,  1.072
-183.146, 79.426, 1.398,  1.105
-183.112, 79.390, 1.400,  1.138
-183.078, 79.354, 1.401,  1.171
-183.043, 79.319, 1.402,  1.204
-183.009, 79.284, 1.402,  1.237
-182.975, 79.248, 1.403,  1.270
-182.940, 79.213, 1.404,  1.303
-182.906, 79.179, 1.405,  1.336
-182.871, 79.144, 1.407,  1.369
-182.837, 79.109, 1.409,  1.402
-182.802, 79.075, 1.411,  1.435
-182.767, 79.040, 1.414,  1.468
-182.733, 79.006, 1.417,  1.501
-182.698, 78.972, 1.420,  1.534
-182.663, 78.937, 1.424,  1.567
-182.628, 78.903, 1.428,  1.600
-182.593, 78.869, 1.432,  1.633
-182.558, 78.834, 1.436,  1.666
-182.523, 78.800, 1.441,  1.699
-182.488, 78.766, 1.445,  1.732
